state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,notes
AK,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
AL,,1,1,0,1,B,3,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
AR,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
AZ,,1,1,0,1,B,3,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
CA,,1,1,0,1,B,3,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
CO,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
CT,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
DC,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
DE,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
FL,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
GA,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
HI,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
IA,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
ID,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
IL,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
IN,,1,1,1,0,B,3,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
KS,,1,1,1,0,B,3,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
KY,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
LA,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
MA,,1,1,0,1,B,3,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
MD,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
ME,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
MI,,1,1,0,1,B,3,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
MN,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
MO,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
MS,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
MT,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
NC,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
ND,,1,1,1,0,B,3,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
NE,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
NH,,1,1,1,0,B,3,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
NJ,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
NM,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
NV,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
NY,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
OH,,1,1,0,1,B,3,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
OK,,1,1,0,1,B,3,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
OR,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
PA,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
RI,,1,1,1,0,B,3,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
SC,,1,1,1,0,B,3,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
SD,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
TN,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
TX,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
UT,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
VA,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
VT,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
WA,,0,1,0,1,C,2,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
WI,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
WV,,1,1,1,0,B,3,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
WY,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
PR,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
